physical_intersection,tls_id,link_index,from_edge,from_lane,to_edge,to_lane,via_lane,sumo_dir,estimated_approach_direction,estimated_travel_direction,movement_class,same_link_index_connections,phase_0_state,phase_1_state,phase_2_state,phase_3_state,phase_4_state,phase_5_state,osm_turn_lanes_or_restriction_evidence,review_status,correction_required,basis_and_uncertainty
홍익대학교 정문 앞,2959081059,10,333681731#5,1,218976037#0,2,:2959081059_9_1,s,south,east,straight,[],r,r,G,y,r,r,turn:lanes absent; relevant restriction absent in raw snapshot,geometry_consistent_osm_legality_unverified,no_change_indicated_by_current_evidence,"SUMO dir=s and node geometry agree: turn=21.5°, approach azimuth=220.8° (SW), outbound azimuth=62.3° (NE). Geometry supports movement class, not legal permission; no external imagery used."
홍익대학교 정문 앞,2959081059,11,333681731#5,1,-299767124#4,0,:2959081059_11_0,l,south,north,left,[],r,r,r,r,G,y,turn:lanes absent; relevant restriction absent in raw snapshot,geometry_consistent_osm_legality_unverified,no_change_indicated_by_current_evidence,"SUMO dir=l and node geometry agree: turn=-82.6°, approach azimuth=220.8° (SW), outbound azimuth=318.2° (NW). Geometry supports movement class, not legal permission; no external imagery used."
홍익대학교 정문 앞,2959081059,12,333681731#5,1,-333681731#5,0,:2959081059_12_0,t,south,south,u_turn,[],r,r,r,r,G,y,turn:lanes absent; relevant restriction absent in raw snapshot,unresolved_no_osm_legality_evidence,hold_pending_field_or_streetview_evidence,"SUMO dir=t and node geometry agree: turn=-180.0°, approach azimuth=220.8° (SW), outbound azimuth=220.8° (SW). Geometry supports movement class, not legal permission; no external imagery used."
홍익대학교 정문 앞,2959081059,13,299767124#4,0,-333681731#5,0,:2959081059_13_0,r,north,south,right,[],G,y,r,r,r,r,turn:lanes absent; relevant restriction absent in raw snapshot,geometry_consistent_osm_legality_unverified,no_change_indicated_by_current_evidence,"SUMO dir=r and node geometry agree: turn=82.6°, approach azimuth=318.2° (NW), outbound azimuth=220.8° (SW). Geometry supports movement class, not legal permission; no external imagery used."
홍익대학교 정문 앞,2959081059,14,299767124#4,0,168874251#0,0,:2959081059_14_0,s,north,south,straight,[],G,y,r,r,r,r,turn:lanes absent; relevant restriction absent in raw snapshot,geometry_consistent_non_passenger_scope,no_vehicle_topology_change_indicated,"SUMO dir=s and node geometry agree: turn=2.9°, approach azimuth=318.2° (NW), outbound azimuth=141.1° (SE). Geometry supports movement class, not legal permission; no external imagery used."
홍익대학교 정문 앞,2959081059,15,299767124#4,0,218976037#0,2,:2959081059_15_0,l,north,east,left,[],g,y,r,r,r,r,turn:lanes absent; relevant restriction absent in raw snapshot,priority_review_minor_green_warning,review_required,"SUMO dir=l and node geometry agree: turn=-75.9°, approach azimuth=318.2° (NW), outbound azimuth=62.3° (NE). Geometry supports movement class, not legal permission; no external imagery used."
홍익대학교 정문 앞,2959081059,16,299767124#4,0,-299767124#4,0,:2959081059_16_0,t,north,north,u_turn,[],g,y,r,r,r,r,turn:lanes absent; relevant restriction absent in raw snapshot,unresolved_no_osm_legality_evidence,hold_pending_field_or_streetview_evidence,"SUMO dir=t and node geometry agree: turn=-180.0°, approach azimuth=318.2° (NW), outbound azimuth=318.2° (NW). Geometry supports movement class, not legal permission; no external imagery used."
홍대입구역사거리,3034197250,0,-218976035#0,0,333681721#0,0,:3034197250_0_0,r,south,east,right,[],r,r,r,r,G,y,turn:lanes absent; relevant restriction absent in raw snapshot,geometry_consistent_osm_legality_unverified,no_change_indicated_by_current_evidence,"SUMO dir=r and node geometry agree: turn=90.0°, approach azimuth=138.2° (SE), outbound azimuth=48.2° (NE). Geometry supports movement class, not legal permission; no external imagery used."
홍대입구역사거리,3034197250,1,-218976035#0,0,333681721#0,1,:3034197250_0_1,r,south,east,right,[],r,r,r,r,G,y,turn:lanes absent; relevant restriction absent in raw snapshot,geometry_consistent_osm_legality_unverified,no_change_indicated_by_current_evidence,"SUMO dir=r and node geometry agree: turn=90.0°, approach azimuth=138.2° (SE), outbound azimuth=48.2° (NE). Geometry supports movement class, not legal permission; no external imagery used."
홍대입구역사거리,3034197250,2,-218976035#0,0,254749392,0,:3034197250_2_0,s,south,north,straight,[],r,r,r,r,G,y,turn:lanes absent; relevant restriction absent in raw snapshot,geometry_consistent_osm_legality_unverified,no_change_indicated_by_current_evidence,"SUMO dir=s and node geometry agree: turn=-0.9°, approach azimuth=138.2° (SE), outbound azimuth=317.3° (NW). Geometry supports movement class, not legal permission; no external imagery used."
홍대입구역사거리,3034197250,3,-218976035#0,1,254749392,1,:3034197250_2_1,s,south,north,straight,[],r,r,r,r,G,y,turn:lanes absent; relevant restriction absent in raw snapshot,geometry_consistent_osm_legality_unverified,no_change_indicated_by_current_evidence,"SUMO dir=s and node geometry agree: turn=-0.9°, approach azimuth=138.2° (SE), outbound azimuth=317.3° (NW). Geometry supports movement class, not legal permission; no external imagery used."
홍대입구역사거리,3034197250,4,-218976035#0,1,254749392,2,:3034197250_2_2,s,south,north,straight,[],r,r,r,r,G,y,turn:lanes absent; relevant restriction absent in raw snapshot,geometry_consistent_osm_legality_unverified,no_change_indicated_by_current_evidence,"SUMO dir=s and node geometry agree: turn=-0.9°, approach azimuth=138.2° (SE), outbound azimuth=317.3° (NW). Geometry supports movement class, not legal permission; no external imagery used."
홍대입구역사거리,3034197250,5,-218976035#0,1,218976035#0,0,:3034197250_5_0,t,south,south,u_turn,[],r,r,r,r,g,y,turn:lanes absent; relevant restriction absent in raw snapshot,unresolved_no_osm_legality_evidence,hold_pending_field_or_streetview_evidence,"SUMO dir=t and node geometry agree: turn=-180.0°, approach azimuth=138.2° (SE), outbound azimuth=138.2° (SE). Geometry supports movement class, not legal permission; no external imagery used."
홍대입구역사거리,3034197250,6,333681730#7,0,218976035#0,0,:3034197250_6_0,r,west,south,right,[],r,r,G,G,G,y,turn:lanes absent; relevant restriction absent in raw snapshot,geometry_consistent_osm_legality_unverified,no_change_indicated_by_current_evidence,"SUMO dir=r and node geometry agree: turn=89.3°, approach azimuth=228.9° (SW), outbound azimuth=138.2° (SE). Geometry supports movement class, not legal permission; no external imagery used."
홍대입구역사거리,3034197250,7,333681730#7,0,333681721#0,0,:3034197250_7_0,s,west,east,straight,[],r,r,G,y,r,r,turn:lanes absent; relevant restriction absent in raw snapshot,geometry_consistent_osm_legality_unverified,no_change_indicated_by_current_evidence,"SUMO dir=s and node geometry agree: turn=-0.7°, approach azimuth=228.9° (SW), outbound azimuth=48.2° (NE). Geometry supports movement class, not legal permission; no external imagery used."
홍대입구역사거리,3034197250,8,333681730#7,1,333681721#0,1,:3034197250_7_1,s,west,east,straight,[],r,r,G,y,r,r,turn:lanes absent; relevant restriction absent in raw snapshot,geometry_consistent_osm_legality_unverified,no_change_indicated_by_current_evidence,"SUMO dir=s and node geometry agree: turn=-0.7°, approach azimuth=228.9° (SW), outbound azimuth=48.2° (NE). Geometry supports movement class, not legal permission; no external imagery used."
홍대입구역사거리,3034197250,9,333681730#7,2,333681721#0,2,:3034197250_7_2,s,west,east,straight,[],r,r,G,y,r,r,turn:lanes absent; relevant restriction absent in raw snapshot,geometry_consistent_osm_legality_unverified,no_change_indicated_by_current_evidence,"SUMO dir=s and node geometry agree: turn=-0.7°, approach azimuth=228.9° (SW), outbound azimuth=48.2° (NE). Geometry supports movement class, not legal permission; no external imagery used."
홍대입구역사거리,3034197250,10,333681730#7,3,333681721#0,3,:3034197250_7_3,s,west,east,straight,[],r,r,G,y,r,r,turn:lanes absent; relevant restriction absent in raw snapshot,geometry_consistent_osm_legality_unverified,no_change_indicated_by_current_evidence,"SUMO dir=s and node geometry agree: turn=-0.7°, approach azimuth=228.9° (SW), outbound azimuth=48.2° (NE). Geometry supports movement class, not legal permission; no external imagery used."
홍대입구역사거리,3034197250,11,333681730#7,4,333681721#0,4,:3034197250_7_4,s,west,east,straight,[],r,r,G,y,r,r,turn:lanes absent; relevant restriction absent in raw snapshot,geometry_consistent_osm_legality_unverified,no_change_indicated_by_current_evidence,"SUMO dir=s and node geometry agree: turn=-0.7°, approach azimuth=228.9° (SW), outbound azimuth=48.2° (NE). Geometry supports movement class, not legal permission; no external imagery used."
홍대입구역사거리,3034197250,12,333681730#7,5,333681721#0,5,:3034197250_7_5,s,west,east,straight,[],r,r,G,y,r,r,turn:lanes absent; relevant restriction absent in raw snapshot,geometry_consistent_osm_legality_unverified,no_change_indicated_by_current_evidence,"SUMO dir=s and node geometry agree: turn=-0.7°, approach azimuth=228.9° (SW), outbound azimuth=48.2° (NE). Geometry supports movement class, not legal permission; no external imagery used."
홍대입구역사거리,3034197250,13,333681730#7,5,254749392,1,:3034197250_13_0,l,west,north,left,[],r,r,G,y,r,r,turn:lanes absent; relevant restriction absent in raw snapshot,geometry_consistent_osm_legality_unverified,no_change_indicated_by_current_evidence,"SUMO dir=l and node geometry agree: turn=-91.6°, approach azimuth=228.9° (SW), outbound azimuth=317.3° (NW). Geometry supports movement class, not legal permission; no external imagery used."
홍대입구역사거리,3034197250,14,333681730#7,5,254749392,2,:3034197250_13_1,l,west,north,left,[],r,r,G,y,r,r,turn:lanes absent; relevant restriction absent in raw snapshot,geometry_consistent_osm_legality_unverified,no_change_indicated_by_current_evidence,"SUMO dir=l and node geometry agree: turn=-91.6°, approach azimuth=228.9° (SW), outbound azimuth=317.3° (NW). Geometry supports movement class, not legal permission; no external imagery used."
홍대입구역사거리,3034197250,15,-254749392,0,218976035#0,0,:3034197250_15_0,s,north,south,straight,[],G,y,r,r,r,r,turn:lanes absent; relevant restriction absent in raw snapshot,geometry_consistent_osm_legality_unverified,no_change_indicated_by_current_evidence,"SUMO dir=s and node geometry agree: turn=0.9°, approach azimuth=317.3° (NW), outbound azimuth=138.2° (SE). Geometry supports movement class, not legal permission; no external imagery used."
홍대입구역사거리,3034197250,16,-254749392,1,333681721#0,4,:3034197250_16_0,l,north,east,left,[],G,y,r,r,r,r,turn:lanes absent; relevant restriction absent in raw snapshot,geometry_consistent_osm_legality_unverified,no_change_indicated_by_current_evidence,"SUMO dir=l and node geometry agree: turn=-89.1°, approach azimuth=317.3° (NW), outbound azimuth=48.2° (NE). Geometry supports movement class, not legal permission; no external imagery used."
홍대입구역사거리,3034197250,17,-254749392,2,333681721#0,5,:3034197250_16_1,l,north,east,left,[],G,y,r,r,r,r,turn:lanes absent; relevant restriction absent in raw snapshot,geometry_consistent_osm_legality_unverified,no_change_indicated_by_current_evidence,"SUMO dir=l and node geometry agree: turn=-89.1°, approach azimuth=317.3° (NW), outbound azimuth=48.2° (NE). Geometry supports movement class, not legal permission; no external imagery used."
홍대입구역사거리,3034197250,18,-254749392,2,254749392,2,:3034197250_18_0,t,north,north,u_turn,[],G,y,r,r,r,r,turn:lanes absent; relevant restriction absent in raw snapshot,unresolved_no_osm_legality_evidence,hold_pending_field_or_streetview_evidence,"SUMO dir=t and node geometry agree: turn=-180.0°, approach azimuth=317.3° (NW), outbound azimuth=317.3° (NW). Geometry supports movement class, not legal permission; no external imagery used."
